subj,stage,region,n_voxels,pval,rval
29,early_practice,BA37R,302,0.17057620189805447,0.08096841755602587
29,early_practice,BA38L,304,0.018529961290045527,0.13869303019239945
29,early_practice,BA38R,302,0.006996036633767673,0.15860675635316457
29,late_practice,BA17L,157,1.3370742381489717e-09,0.3475702391837774
29,late_practice,BA17R,151,2.8814054019220225e-09,0.3408606727618271
29,late_practice,BA18L,724,3.0814672949084885e-05,0.24293204842237384
29,late_practice,BA18R,717,2.1923520891700227e-13,0.41450826214594083
29,late_practice,BA19L,761,4.042657432255387e-06,0.2677865200172904
29,late_practice,BA19R,800,0.0004791463756198505,0.20448768604768258
29,late_practice,BA20L,360,0.8171669900429914,-0.013681881598499989
29,late_practice,BA20R,359,0.9010326673965333,0.007359710760038867
29,late_practice,BA37L,308,0.7039223186590814,-0.022488517637555924
29,late_practice,BA37R,302,0.47992481810473425,-0.041789958053479626
29,late_practice,BA38L,304,0.9239069846456063,-0.00565272429505902
29,late_practice,BA38R,302,0.1081472283044918,0.09486739958877734
30,early_practice,BA17L,157,2.604260767987485e-43,0.6976127674564027
30,early_practice,BA17R,151,6.31322607691055e-36,0.6497158475977067
30,early_practice,BA18L,724,1.0310536032388167e-43,0.6999764890428298
30,early_practice,BA18R,717,2.71728270115811e-94,0.8796319913308219
30,early_practice,BA19L,761,7.268262301962623e-21,0.5145004069983468
30,early_practice,BA19R,800,1.63955667062206e-14,0.4318279863974375
30,early_practice,BA20L,360,0.8106986050510462,0.014175076812097738
30,early_practice,BA20R,359,0.08263144048994822,0.10244854489857311
30,early_practice,BA37L,308,0.004725461769067013,0.16604010656838727
30,early_practice,BA37R,302,0.0004947375506567232,0.20399692550178203
30,early_practice,BA38L,304,0.8064199649376261,0.014501847368803259
30,early_practice,BA38R,302,0.051466028162983006,0.11488125223784297
30,late_practice,BA17L,157,1.2761557612821968e-80,0.8474141966248259
30,late_practice,BA17R,151,1.9807413698086242e-66,0.8036636443321158
30,late_practice,BA18L,724,6.719004578132386e-74,0.8282150919904813
30,late_practice,BA18R,717,3.544835913377409e-48,0.7247241768343976
30,late_practice,BA19L,761,6.338428684845451e-24,0.5475020298508096
30,late_practice,BA19R,800,4.781604215693274e-17,0.4675420327174982
30,late_practice,BA20L,360,0.004527291557385466,0.16683390811414686
